catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD  42995A,* eta Gem,93.71935536055372,22.506787327170837,-59.53,-7.766,4.7312,1.0207,RG*,M2IIIa,22.39,0.36,3.28,NAME Propus
HD  37795,* alf Col,84.91225429958334,-34.07410971972223,1.685,-24.345,11.4008,0.4452,Be*,B9Ve,35.0,4.0,2.65,NAME Phact
HD  37202,* zet Tau,84.41118926291666,21.14254411222222,1.78,-20.07,7.33,0.82,Be*,B1IVe_shell,20.0,2.5,3.03,
HD  36079,* bet Lep,82.06134536679916,-20.759443885748333,-5.748,-83.65,20.8697,0.2047,PM*,G5II-IIIa:,-14.2,0.1,2.84,NAME Nihal
HD  36486,* del Ori,83.00166705557675,-0.2990951070833332,0.64,-0.69,4.71,0.58,**,O9.5IINwk,18.5,0.5,2.41,NAME Mintaka
HD  35497,* bet Tau,81.57297133176498,28.607451724998228,22.76,-173.58,24.36,0.34,PM*,B7III,9.2,2.0,1.65,NAME Elnath
HD  25025,* gam Eri,59.50735758877376,-13.508514805984444,62.227,-112.006,17.0016,0.2254,LP?,M0III-IIIb,60.81,0.25,2.94,NAME Zaurak
HD  18884,* alf Cet,45.56988780332224,4.089738771805157,-10.41,-76.85,13.09,0.44,LP?,M1.5IIIa,-25.47,0.1,2.53,NAME Menkar
HD  71369,* omi UMa,127.56612565266668,60.71816822394111,-133.644,-107.664,17.9335,0.1456,PM*,G5III:,19.8,0.2,3.42,NAME Muscida
HD 131873,* bet UMi,222.67635749796767,74.15550393675127,-32.61,11.42,24.91,0.12,V*,K4-III,16.96,0.19,2.08,NAME Kochab
HD 137422,* gam UMi,230.1820980485008,71.83402545491221,-15.908,17.146,6.5959,0.2943,dS*,A2III,-3.9,0.6,3.002,NAME Pherkad
HD 159181,* bet Dra,262.60817373291667,52.30138870861111,-15.89,12.28,8.58,0.1,*,G2Ib-IIa,-20.825,0.0022,2.81,NAME Rastaban
HD   8538,* del Cas,21.45396446208333,60.23528402972222,296.57,-49.22,32.81,0.14,EB*,A5IV,6.7,1.78,2.68,NAME Ruchbah
HD 194093,* gam Cyg,305.55709098208337,40.25667915638889,2.39,-0.91,1.78,0.27,*,F8Ib,-5.906,0.0006,2.23,NAME Sadr
HD 110380,* gam Vir B,190.4147607686542,-1.4494021269330557,-534.318,-64.27,78.5233,1.3879,Pe*,F0mF2V,-19.8,0.9,3.49,
HD   3969,M  31,10.684708333333331,41.26875,,,,,AGN,,-300.0,4.0,3.44,NAME Andromeda
HD   3969,M  31,10.684708333333331,41.26875,,,,,AGN,,-300.0,4.0,3.44,NAME Andromeda Galaxy
HD   3969,M  31,10.684708333333331,41.26875,,,,,AGN,,-300.0,4.0,3.44,NAME And Nebula
